trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
181,0,181,0,10,376.12336939998204,376.12336939998204,0.03739100001985207,[-0.3212890625],[0.5],[1],[0],[0],[2.037542600010056],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
182,0,182,0,10,378.2020049999701,378.2020049999701,0.035113399964757264,[-0.09765625],[-0.3759765625],[1],[0],[0],[1.8433860000222921],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
183,0,183,0,10,380.0869232999976,380.0869232999976,0.03624200000194833,[0.0546875],[0.3505859375],[1],[0],[0],[1.4431190000032075],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
184,0,184,0,10,381.57062090002,381.57062090002,0.037908900005277246,[0.1357421875],[-0.044921875],[1],[0],[0],[1.7080918999854475],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
185,0,185,0,5,383.2934726999956,383.2934726999956,0.019863000023178756,[0.048828125],[0.0859375],[1],[0],[0],[1.5937181999906898],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
186,0,186,0,10,384.93770349997794,384.93770349997794,0.03722699999343604,[-0.138671875],[-0.248046875],[1],[0],[0],[2.089512399979867],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
187,0,187,0,10,387.0690568999853,387.0690568999853,0.03580309997778386,[-0.216796875],[0.4619140625],[1],[0],[0],[1.6774269999586977],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
188,0,188,0,10,388.7866735999705,388.7866735999705,0.03557199996430427,[-0.1572265625],[0.4423828125],[1],[0],[0],[1.2447403999976814],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
189,0,189,0,10,390.07211780000944,390.07211780000944,0.03762730001471937,[-0.2607421875],[0.3203125],[1],[0],[0],[1.8469139999942854],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
190,0,190,0,5,391.93300369998906,391.93300369998906,0.018073300016112626,[0.4384765625],[-0.1806640625],[1],[0],[0],[2.0218954000156373],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
191,0,191,0,10,394.02740810002433,394.02740810002433,0.05776080000214279,[0.1787109375],[0.44140625],[1],[0],[0],[1.8682552999816835],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
192,0,192,0,10,395.93483569996897,395.93483569996897,0.03567540005315095,[-0.087890625],[0.044921875],[1],[0],[0],[2.160334999964107],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
193,0,193,0,5,398.1126833999879,398.1126833999879,0.02038389997323975,[-0.30078125],[0.2109375],[1],[0],[0],[1.4921207000152208],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
194,0,194,0,10,399.6576898000203,399.6576898000203,0.03765509999357164,[-0.4375],[-0.224609375],[1],[0],[0],[2.393299699993804],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
195,0,195,0,5,402.0866315999883,402.0866315999883,0.030326100008096546,[-0.283203125],[-0.3291015625],[1],[0],[0],[1.7608800999587402],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
196,0,196,0,5,403.8935446999967,403.8935446999967,0.03377750003710389,[0.154296875],[0.0859375],[1],[0],[0],[1.5255781000014395],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
197,0,197,0,5,405.4296843999764,405.4296843999764,0.020750099967699498,[-0.341796875],[-0.0751953125],[1],[0],[0],[1.5232637000153773],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
198,0,198,0,10,407.00726470001973,407.00726470001973,0.03791110002202913,[0.291015625],[0.4677734375],[1],[0],[0],[2.511191099998541],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
199,0,199,0,5,409.5331891999813,409.5331891999813,0.018741800042334944,[0.177734375],[-0.3876953125],[1],[0],[0],[2.056382700044196],['target'],dt,001,2022-09-27_23h02.40.244,visual search exp,2022.2.2,59.854398176283496,
